code,file_size,pricesens,link,time,notices,pages
CTW,117.5KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942981,22/01/2018 4:53 PM,Citifist Barrier Stop Loss Trigger Event 220118,1
CTW,131.9KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942980,22/01/2018 4:52 PM,Citifirst GSL MINIs Stop Loss Trigger Event 220118,1
YTM,182.9KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942979,22/01/2018 4:50 PM,NAV OF XTBs ON ISSUE,2
IMO,9.3KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942978,22/01/2018 4:46 PM,IMS 2005-2L Bond Factor 29 Jan 2018,1
THC,769.0KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942977,22/01/2018 4:46 PM,Appendix 3B,13
PAK,71.9KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942976,22/01/2018 4:42 PM,Change of Director's Interest Notice G Hill,2
MFF,203.8KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942975,22/01/2018 4:41 PM,Weekly NTA,1
CTW,19.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942974,22/01/2018 4:41 PM,CitiFirst Mason Stevens Strike Changes Effective 23 Jan 18,1
IMM,111.2KB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942973,22/01/2018 4:40 PM,Appendix 4C - quarterly,5
AOD,35.5KB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942972,22/01/2018 4:38 PM,Dividend/Distribution - AOD,4
PIA,440.3KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942971,22/01/2018 4:36 PM,Monthly Performance Report - December 2017,2
QMN,123.3KB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942970,22/01/2018 4:35 PM,Moly Mines Ltd Intends to Proceed to Compulsory Acquisition,1
